Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Dnase1l3,8.19113663516093e-10,-4.02671185280745,0.001,0.023,2.14460339381784e-05
Usp7,8.38929356507791e-10,-0.301317100854026,0.291,0.388,2.1964848412087e-05
Slc43a3,8.52237228086564e-10,1.55925927558875,0.052,0.023,2.23132751057624e-05
Shisal1,8.53572890514461e-10,-3.58719921163854,0.001,0.024,2.23482454194496e-05
Chst11,8.59728762751191e-10,1.46417341084225,0.064,0.031,2.25094184663517e-05
Icosl,8.99152719754267e-10,1.67381872388115,0.041,0.015,2.35416165086062e-05
Rap2c,9.08265184816713e-10,-0.286996892978408,0.39,0.498,2.37801990688712e-05
Ipo8,9.1434128102633e-10,-0.503643948192893,0.085,0.145,2.39392834198314e-05
Mcl1,9.22148261713911e-10,0.382556454071629,0.83,0.83,2.41436857881936e-05
Pcm1,9.23463074187673e-10,-0.368180090965964,0.194,0.277,2.41781102083816e-05
Naa25,9.23740628028482e-10,-0.517269569605425,0.104,0.17,2.41853771230417e-05
Erc1,9.45156637624146e-10,-0.971063342672938,0.038,0.083,2.47460910862754e-05
Vps36,9.56795575115486e-10,-0.434992650908236,0.12,0.191,2.50508217476737e-05
Thra,9.58134075360804e-10,1.08601599186166,0.128,0.082,2.50858663610966e-05
Atp1b3,9.65145550384212e-10,0.453830812798295,0.646,0.638,2.52694408001594e-05
Plac8,1.04000782795245e-09,1.66647754598484,0.071,0.036,2.72294849514509e-05
Blmh,1.04506552480903e-09,-0.617076542380098,0.096,0.157,2.73619055705501e-05
Lamp2,1.04603394913023e-09,0.254195613554892,0.879,0.881,2.73872608561278e-05
Arl8a,1.07199121533557e-09,-0.187062336494976,0.393,0.503,2.80668739999159e-05
Ncoa5,1.08550248769777e-09,-0.985688772273625,0.039,0.084,2.84206261329031e-05
Vezf1,1.15098697348023e-09,-0.553006699111783,0.067,0.122,3.01351409396595e-05
Tnfrsf9,1.15132380197146e-09,1.89412736080064,0.083,0.045,3.01439597832167e-05
Etv3,1.16600472692682e-09,0.818411276117515,0.286,0.232,3.0528335760398e-05
