Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Calu,0.656999666214014,1.54862242688587e-07,0.00405460323807258,2.39205163712389,0.338,0.299,NS,FALSE
Ppil4,-0.266227038479682,1.55654030267868e-07,0.00407533382047332,2.38983681135304,0.104,0.159,NS,FALSE
Ncor2,-0.364559594750728,1.64235785437321e-07,0.00430002133431995,2.36652938968682,0.101,0.156,NS,FALSE
Idnk,-0.3129326353152,1.65851619546732e-07,0.00434232710297255,2.3622774646989,0.101,0.156,NS,FALSE
Emc3,-0.499122468484114,1.65889048909432e-07,0.00434330707854675,2.36217946425882,0.096,0.148,NS,FALSE
Slfn8,-0.113795748773065,1.66763101255957e-07,0.00436619151708346,2.35989721846922,0.288,0.381,NS,FALSE
BC031181,-0.197635905319413,1.67131358102686e-07,0.00437583321784452,2.35893923922265,0.371,0.462,NS,FALSE
BC003965,-0.589759790031178,1.70571116163734e-07,0.00446589296339889,2.35009169012313,0.064,0.109,NS,FALSE
Macir,-0.242268016048035,1.72476967665845e-07,0.00451579196742715,2.34526607327485,0.141,0.204,NS,FALSE
Gtf2h1,-0.281007616393224,1.73706449609502e-07,0.00454798226367598,2.34218123765244,0.13,0.19,NS,FALSE
Clpp,-0.605700294788665,1.76649689984148e-07,0.00462504218316497,2.33488430188014,0.039,0.076,NS,FALSE
Cd300ld,-0.13151587874093,1.77866740442812e-07,0.00465690699827369,2.33190243514862,0.367,0.461,NS,FALSE
Nmi,-0.325470992974165,1.77964871931456e-07,0.00465947627690938,2.33166289507619,0.101,0.155,NS,FALSE
Mettl21a,-0.770192320287164,1.79278773933243e-07,0.00469387685912018,2.32846830802803,0.043,0.081,NS,FALSE
Tmx2,-0.417160930810319,1.80016158816125e-07,0.00471318307012378,2.32668569098502,0.117,0.174,NS,FALSE
Ice1,-0.450388786075192,1.80101152562871e-07,0.00471540837640108,2.32648068936623,0.077,0.126,NS,FALSE
Shmt2,-0.684163117025158,1.82332566869998e-07,0.00477383126579029,2.32113293548244,0.053,0.094,NS,FALSE
Dcaf6,-0.506810366962697,1.82449179517242e-07,0.00477688441812043,2.32085526681373,0.058,0.101,NS,FALSE
Ep300,-0.168878627681377,1.83766894602548e-07,0.00481138483448392,2.31772990503701,0.347,0.446,NS,FALSE
Mapre2,0.602194094116794,1.84958347421676e-07,0.00484257945219431,2.31492324508144,0.265,0.215,NS,FALSE
Trappc13,-0.474445553740159,1.85085122511504e-07,0.0048458986775962,2.31462567072284,0.086,0.136,NS,FALSE
Slc39a10,1.16722514246402,1.87908759503127e-07,0.00491982714131087,2.30805015595086,0.107,0.071,log2FC_only,FALSE
Slc25a17,-0.303711208948489,1.90077365431222e-07,0.00497660558172025,2.30306677767474,0.114,0.17,NS,FALSE
Supt4a,-0.482487781137872,1.90144632829688e-07,0.00497836677674689,2.30291311028882,0.098,0.152,NS,FALSE
BC004004,-0.391941460541261,1.90290942124981e-07,0.00498219744671624,2.30257906517363,0.129,0.189,NS,FALSE
Edf1,0.366493158468923,1.91224755813206e-07,0.00500664655670136,2.30045306645854,0.603,0.592,NS,FALSE
Ttc19,-0.927868693419482,1.91266227717944e-07,0.0050077323741112,2.30035888897343,0.026,0.058,NS,FALSE
Zbtb8os,-0.416853496992113,1.92021285832841e-07,0.00502750130567546,2.29864780794205,0.118,0.176,NS,FALSE
Dpp7,0.92029805423175,1.93903084936536e-07,0.00507677056980839,2.29441246285453,0.096,0.06,NS,FALSE
Ell,0.990576261978612,1.94810318175622e-07,0.00510052375047414,2.2923852258115,0.12,0.081,NS,FALSE
Tmbim6,-0.105296301773873,1.95810723165301e-07,0.00512671635391392,2.29016071012693,0.896,0.946,NS,FALSE
Pxn,-0.207111200563286,1.99743331717031e-07,0.0052296799110153,2.28152489184667,0.205,0.279,NS,FALSE
Drap1,-0.188602052716998,2.02482101505557e-07,0.00530138638161849,2.27561054188003,0.397,0.499,NS,FALSE
Pigu,-0.758089663878948,2.02911916399016e-07,0.00531263979515904,2.27468962890071,0.035,0.07,NS,FALSE
Med17,-0.428436135906531,2.03734495231605e-07,0.00533417655415388,2.27293261383815,0.077,0.125,NS,FALSE
Pigg,-0.897387248680937,2.03918489391568e-07,0.00533899388925003,2.27254057621392,0.019,0.047,NS,FALSE
Utp4,-0.386418475383792,2.04649906847797e-07,0.00535814386108901,2.27098563017567,0.079,0.128,NS,FALSE
Bcl7b,-0.51018069581409,2.06203457670824e-07,0.0053988189287375,2.26770123810921,0.079,0.127,NS,FALSE
Lars,-0.357589269953407,2.06378645871586e-07,0.00540340570620988,2.26733242291919,0.098,0.151,NS,FALSE
Phactr2,-0.253845064867994,2.07356959510302e-07,0.00542901991389872,2.26527856532895,0.109,0.165,NS,FALSE
1600010M07Rik,-0.216767396835323,2.10580497159995e-07,0.00551341857664298,2.25857903479706,0.026,0.058,NS,FALSE
Ppp6r1,-0.294293084643994,2.11958499107081e-07,0.0055494974236216,2.25574634589191,0.17,0.239,NS,FALSE
Mtrex,-0.353099722096285,2.15117405134126e-07,0.00563220390122169,2.24932163093049,0.069,0.116,NS,FALSE
Ngdn,-0.423772846600174,2.15225985348654e-07,0.00563504674839846,2.24910247669201,0.106,0.16,NS,FALSE
2900026A02Rik,1.66946799619362,2.15295482810979e-07,0.00563686633095705,2.24896226363929,0.028,0.01,log2FC_only,FALSE
Brd7,-0.293757518700667,2.16351738602237e-07,0.00566452122008376,2.24683679193701,0.166,0.233,NS,FALSE
Clcn5,-0.246175877616528,2.18249068174517e-07,0.00571419710294522,2.24304478333635,0.177,0.243,NS,FALSE
Gnb4,-0.441589241347092,2.18482053977794e-07,0.00572029713724661,2.2425814114666,0.064,0.109,NS,FALSE
Aggf1,-0.290137266863201,2.18606712106862e-07,0.00572356093638186,2.24233368906673,0.169,0.234,NS,FALSE
Uba2,-0.334701871390308,2.20698090814115e-07,0.00577831741369515,2.23819860523498,0.096,0.15,NS,FALSE
Dad1,-0.187302287508959,2.2134146716228e-07,0.00579516229324281,2.23693439713389,0.36,0.455,NS,FALSE
Gpalpp1,-0.37816917933872,2.2373555058554e-07,0.0058578441854306,2.23226218443108,0.104,0.158,NS,FALSE
Tmem243,-0.256862683837638,2.25130474717265e-07,0.00589436608904744,2.22956289435719,0.144,0.207,NS,FALSE
Tut7,-0.199937132347898,2.26842656755944e-07,0.00593919443918412,2.22627245642319,0.283,0.373,NS,FALSE
Ubr3,-0.452200005541214,2.30686114664846e-07,0.00603982385415499,2.2189757269888,0.116,0.173,NS,FALSE
Peak1os,2.30447338051055,2.33248355334615e-07,0.00610690843937089,2.21417859131477,0.016,0.004,log2FC_only,FALSE
Idh2,0.817448265239636,2.33263695527167e-07,0.00610731007629228,2.21415002973328,0.115,0.076,NS,FALSE
Prkce,-1.01080087576672,2.39792125965435e-07,0.00627823744202701,2.20216226337123,0.031,0.064,log2FC_only,FALSE
Mettl23,-0.512297574227897,2.43262931003028e-07,0.00636911005952129,2.19592124635224,0.067,0.112,NS,FALSE
Urm1,-0.398133477641989,2.44042064339741e-07,0.00638950932854309,2.19453249146415,0.094,0.146,NS,FALSE
Ttc21b,-1.33202988084456,2.44912501622301e-07,0.00641229911747508,2.19298622711032,0.011,0.035,log2FC_only,FALSE
Cyp27a1,-2.96647130059464,2.47857878076516e-07,0.00648941496379934,2.18779445411584,0.002,0.02,log2FC_only,FALSE
Cnot1,-0.316510296462915,2.5309156841311e-07,0.00662644344419204,2.17871950432464,0.151,0.213,NS,FALSE
Aatf,-0.661598338959363,2.56696707630141e-07,0.00672083319917236,2.17257688299201,0.048,0.087,NS,FALSE
Fpr1,-0.379545105396141,2.61690606585133e-07,0.00685158346161195,2.16420904760702,0.13,0.186,NS,FALSE
Sec62,-0.193302693802706,2.64160275398185e-07,0.00691624433047527,2.16012967278637,0.42,0.515,NS,FALSE
Fbxo7,-0.554344229907932,2.6839283560991e-07,0.00702706122193866,2.15322626273796,0.067,0.112,NS,FALSE
Zdhhc3,-0.268388468455711,2.68862171844806e-07,0.0070393493832407,2.15246747897236,0.11,0.166,NS,FALSE
Pigx,-0.304309721454527,2.69365151278137e-07,0.00705251839076417,2.15165577266682,0.131,0.191,NS,FALSE
Trpm2,-1.01961792606096,2.72070438401925e-07,0.00712334821823921,2.14731582505549,0.03,0.063,log2FC_only,FALSE
Polr2f,-0.411239700482967,2.72591035676469e-07,0.0071369784960813,2.1464856117827,0.09,0.141,NS,FALSE
Ppp1r12a,-0.126101481235453,2.81142604289237e-07,0.00736087566550081,2.13307051798945,0.299,0.391,NS,FALSE
Atp9b,-0.318467787787877,2.81628255599611e-07,0.00737359098810902,2.13232095630595,0.161,0.225,NS,FALSE
1810037I17Rik,0.527021384260945,2.86248137054498e-07,0.00749454872436087,2.12525451257158,0.428,0.396,NS,FALSE
Brwd1,-0.444672586738581,2.88578183486366e-07,0.00755555400004003,2.12173368614437,0.086,0.135,NS,FALSE
Gm47507,2.46704612494782,2.88919640412021e-07,0.00756449402526754,2.12122011580777,0.015,0.003,log2FC_only,FALSE
Szrd1,-0.241779902039584,2.90460144866994e-07,0.00760482751290763,2.11891063184661,0.177,0.246,NS,FALSE
Eid1,0.607277065864664,2.94137723046044e-07,0.00770111386479154,2.11344645530191,0.483,0.468,NS,FALSE
Cpq,-0.255406717724218,2.95607726954525e-07,0.00773960150712337,2.1112813994867,0.203,0.276,NS,FALSE
Cisd2,-0.258078495148337,2.95939803707439e-07,0.00774829594066816,2.11079380006642,0.236,0.314,NS,FALSE
Ncoa2,-0.331377663676156,2.96219627502547e-07,0.00775562228727169,2.11038334999922,0.089,0.141,NS,FALSE
Nrbp1,-0.259797176651871,2.97258193833824e-07,0.00778281403095719,2.10886334682144,0.18,0.249,NS,FALSE
G3bp2,-0.203261558725158,2.97964932327939e-07,0.00780131785821011,2.10783202677055,0.37,0.467,NS,FALSE
Ahcyl2,-0.195089392678329,3.02154586792165e-07,0.00791101139139246,2.10176799012787,0.177,0.248,NS,FALSE
Gtf3c6,-0.237476641445441,3.04047468450475e-07,0.00796057081897033,2.09905578971953,0.083,0.133,NS,FALSE
Cib1,-0.438640968262011,3.04752601267477e-07,0.00797903260638508,2.09804976017517,0.095,0.147,NS,FALSE
Sgk1,1.97297973579867,3.08894595323707e-07,0.00808747829476529,2.09218687188446,0.07,0.04,log2FC_only,FALSE
Acp6,-0.981957559469369,3.16794010215099e-07,0.00829430077545172,2.08122021990635,0.021,0.051,NS,FALSE
Armh3,-0.764152961185642,3.17563792470992e-07,0.00831445521447551,2.08016620165771,0.036,0.071,NS,FALSE
Snw1,-0.197479529535116,3.25265802895247e-07,0.00851610925140336,2.06975877572394,0.393,0.485,NS,FALSE
Ptpmt1,-0.368731002686925,3.28002688721954e-07,0.0085877663961182,2.06611977772632,0.127,0.185,NS,FALSE
