Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Aldh2,1.59039439612659,1.57110920324145e-08,0.000411347811592676,3.38579080883731,0.208,0.088,log2FC_only,FALSE
Gyg,1.0601807210857,1.62030223588201e-08,0.000424227531398628,3.37240115018411,0.411,0.246,log2FC_only,FALSE
Cd9,1.76177363943828,1.65383987939016e-08,0.000433008357221933,3.36350372152113,0.148,0.051,log2FC_only,FALSE
Msrb1,1.41117883213701,1.95827047301578e-08,0.000512714375244993,3.29012450584407,0.254,0.121,log2FC_only,FALSE
Ptgs1,4.09673487142536,2.56710166545713e-08,0.000672118558049986,3.17255411300953,0.047,0.005,log2FC_only,FALSE
Il36g,3.77008175594521,2.70660674659596e-08,0.000708643778393755,3.14957202145311,0.047,0.005,log2FC_only,FALSE
Cxcl3,5.57854722185592,2.7327497059598e-08,0.000715488528014395,3.14539732523053,0.047,0.005,log2FC_only,FALSE
Npc2,1.0225217457795,2.77460102588383e-08,0.000726446040596904,3.13879663895897,0.644,0.499,log2FC_only,FALSE
Gadd45a,3.35346091570622,2.82619371433628e-08,0.000739954038287524,3.13079525532041,0.047,0.005,log2FC_only,FALSE
Cdk18,2.39030140892273,2.84369610765341e-08,0.000744536514905816,3.12811399793434,0.085,0.019,log2FC_only,FALSE
Ywhae,0.404517824874609,2.87265902991452e-08,0.00075211958721222,3.12371310098119,0.919,0.817,NS,FALSE
Vim,0.391396441771972,3.84324975234565e-08,0.00100623965015914,2.99729857360732,0.996,0.981,NS,FALSE
Ctsl,1.55747726551706,3.93135607879111e-08,0.00102930764854909,2.98745480006947,0.394,0.237,log2FC_only,FALSE
Gabarap,0.632990425053593,4.28261015826136e-08,0.00112127299163599,2.95028863867403,0.826,0.685,NS,FALSE
Anxa3,1.59641847158591,4.34871084405323e-08,0.00113857947319002,2.94363665010524,0.186,0.076,log2FC_only,FALSE
Prdx1,1.23283283978287,4.58307420456867e-08,0.00119994048824017,2.92084029251055,0.894,0.809,log2FC_only,FALSE
Igf2bp2,2.29254149711017,5.04321035769133e-08,0.00132041333585075,2.87929009805186,0.123,0.039,log2FC_only,FALSE
Prnp,1.3177101639986,7.27658934328886e-08,0.00190515662185989,2.72006931541436,0.174,0.068,log2FC_only,FALSE
Clec12a,0.968753606729612,7.70270378665935e-08,0.00201672190542315,2.69535398441831,0.267,0.129,log2FC_only,FALSE
Adam15,1.24810663366619,7.8784568603557e-08,0.00206273757517833,2.68555602016129,0.254,0.124,log2FC_only,FALSE
Cd180,1.08985037687216,8.18300613348392e-08,0.00214247466586876,2.6690843047786,0.301,0.16,log2FC_only,FALSE
AI839979,5.91253147159412,8.41614390108794e-08,0.00220351479618285,2.65688402893941,0.021,0,log2FC_only,FALSE
Grn,1.05469908707529,9.36907919568286e-08,0.00245301231501369,2.61030027147194,0.445,0.281,log2FC_only,FALSE
Fcgr3,0.288497881893128,9.9079301333537e-08,0.00259409426751467,2.58601424601695,0.36,0.188,NS,FALSE
Cfp,0.564921404685678,9.91030495571701e-08,0.00259471604350583,2.58591016285836,0.364,0.199,NS,FALSE
Cstb,1.09763704098963,1.0883445157685e-07,0.00284950361118509,2.54523078830701,0.665,0.54,log2FC_only,FALSE
Itgal,-0.641527922571823,1.26275272707072e-07,0.00330613919001655,2.48067886637751,0.602,0.738,NS,FALSE
Stfa1,5.50916441261002,1.26845060981663e-07,0.00332105738662189,2.47872361989156,0.025,0.001,log2FC_only,FALSE
