Cell,SampleID,seurat_clusters,CellType1,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,FibroblastScore1,FibroblastScoreFull,umap_1,umap_2
524130,Fibro_Cocultured,0,Macrophages,5128,2238,5.0702,3.7832,-0.130707,0.121606,2.214475,0.15624
526731,Fibro_Cocultured,4,Macrophages,4943,2082,6.5345,1.9624,-0.128532,0.09481,2.419909,-2.134337
541331,Fibro_Cocultured,9,T Cells,2592,1467,6.0185,9.4907,-0.091098,0.293108,-6.837879,1.46707
545415,Fibro_Cocultured,2,Macrophages,2987,1594,8.8048,4.0509,-0.131042,0.194904,3.852914,-4.297025
556733,Fibro_Cocultured,0,Macrophages,3520,1720,7.0455,2.7841,-0.14607,0.139907,4.946594,-0.102398
560580,Fibro_Cocultured,7,T Cells,1487,968,4.3712,8.0699,-0.17907,0.465728,-7.477358,-1.082413
564128,Fibro_Cocultured,8,NK Cells,1544,976,6.3472,5.5052,-0.136401,0.185619,-10.881626,0.232049
568163,Fibro_Cocultured,11,T Cells,4717,2042,6.9748,6.254,-0.081418,0.219444,-5.836819,-1.049031
575228,Fibro_Cocultured,4,Macrophages,3779,1844,5.1336,3.8635,-0.070662,0.127822,2.063092,-2.400991
580013,Adipo_Cocultured,1,Monocytes,3028,1334,8.7517,6.0766,-0.092016,0.205332,3.950934,-0.120991
580809,Adipo_Cocultured,1,Monocytes,6519,2318,7.2097,3.6509,-0.099508,0.061945,0.372621,-0.366754
586033,Fibro_Cocultured,3,Macrophages,4630,2353,3.4125,3.0886,-0.166912,0.148851,-0.229388,-3.989127
589491,Fibro_Cocultured,9,T Cells,3037,1552,8.8904,9.7465,-0.092696,0.509581,-6.305572,1.820589
593997,Fibro_Cocultured,7,T Cells,1624,990,8.1897,10.3448,-0.094826,0.424766,-6.81518,-1.412119
595041,Fibro_Cocultured,2,Macrophages,4831,2151,5.0921,5.0093,-0.130423,0.169872,3.908295,-1.474725
598880,Fibro_Cocultured,7,T Cells,1937,1203,7.176,10.4801,-0.176775,0.307726,-5.934981,-0.447621
602122,Adipo_Cocultured,4,Macrophages,2870,1461,6.446,5.8885,-0.047973,0.101106,1.866474,-0.481032
605546,Fibro_Cocultured,0,Macrophages,2736,1549,3.7281,4.386,-0.067343,0.095425,3.906903,-0.095211
609287,Fibro_Cocultured,2,Macrophages,2543,1256,5.23,3.3818,-0.068267,0.191351,3.977676,-3.394102
609482,Fibro_Cocultured,0,Macrophages,4080,1868,8.1127,2.8676,-0.121068,0.11394,3.699504,-1.498157
621632,Fibro_Cocultured,2,Macrophages,2507,1327,11.2086,4.2282,-0.124095,0.145483,4.870838,-1.115695
626827,Fibro_Cocultured,11,T Cells,4061,2031,5.639,7.1411,-0.10157,0.36992,-5.857082,-0.738806
628185,Fibro_Cocultured,3,Macrophages,3461,1774,5.9809,3.7272,-0.144701,0.066793,1.960129,-4.150066
628920,Adipo_Cocultured,0,Macrophages,3833,1927,4.2004,4.3569,-0.111915,0.09626,5.286309,-1.850726
628965,Fibro_Cocultured,4,Macrophages,2496,1478,5.1282,3.2452,-0.090317,0.124575,1.754692,-2.731179
629580,Fibro_Cocultured,3,Macrophages,4084,1959,4.7747,5.8031,-0.099791,0.28164,3.448926,-3.915691
