Cell,umap_1,umap_2,SampleID,AdipoAlpha,FibroAlpha
1325758,-1.003798,2.471639,Fibro_Cocultured,0.3,1
1331095,5.478459,-1.149615,Fibro_Cocultured,0.3,1
1338024,0.873013,-1.513061,Fibro_Cocultured,0.3,1
1339194,0.084264,-2.881088,Fibro_Cocultured,0.3,1
1343503,2.561487,-0.114059,Adipo_Cocultured,1,0.3
1346502,0.893787,-1.642279,Adipo_Cocultured,1,0.3
1357134,2.629823,-3.568639,Fibro_Cocultured,0.3,1
1358122,2.109134,-0.067282,Fibro_Cocultured,0.3,1
1359151,1.143826,2.092114,Adipo_Cocultured,1,0.3
1359999,-10.30276,-1.580568,Fibro_Cocultured,0.3,1
1363038,0.73969,-0.155784,Adipo_Cocultured,1,0.3
1371731,1.470057,-1.896898,Adipo_Cocultured,1,0.3
1374719,3.726573,-1.912412,Fibro_Cocultured,0.3,1
1376550,1.63862,1.60712,Adipo_Cocultured,1,0.3
1377038,5.729478,-1.179906,Fibro_Cocultured,0.3,1
1378924,2.710385,-2.048686,Fibro_Cocultured,0.3,1
1397942,4.973375,-0.441303,Fibro_Cocultured,0.3,1
1398992,0.472972,1.411745,Adipo_Cocultured,1,0.3
1403281,2.062515,-3.491226,Fibro_Cocultured,0.3,1
1408504,0.952212,1.216032,Adipo_Cocultured,1,0.3
1410706,1.688313,-3.930046,Fibro_Cocultured,0.3,1
1412466,0.714836,4.422162,Adipo_Cocultured,1,0.3
1412799,-10.271433,5.52802,Fibro_Cocultured,0.3,1
1421558,3.804369,-1.853525,Fibro_Cocultured,0.3,1
1426369,0.973316,2.804885,Adipo_Cocultured,1,0.3
1427892,-0.639549,2.204668,Adipo_Cocultured,1,0.3
1428773,1.287928,2.583969,Adipo_Cocultured,1,0.3
1431463,3.686694,-3.781,Adipo_Cocultured,1,0.3
1444547,0.07957,0.958883,Adipo_Cocultured,1,0.3
1446027,2.986658,0.492804,Adipo_Cocultured,1,0.3
1447546,-5.997483,-0.275138,Adipo_Cocultured,1,0.3
1448518,-6.36453,0.388492,Fibro_Cocultured,0.3,1
1453824,-2.986077,7.690499,Adipo_Cocultured,1,0.3
1457819,4.079907,0.423016,Fibro_Cocultured,0.3,1
1458333,-3.573354,5.318051,Adipo_Cocultured,1,0.3
1462608,-7.648085,1.730062,Fibro_Cocultured,0.3,1
1462885,-1.442895,2.248748,Adipo_Cocultured,1,0.3
1463071,3.0635,-0.613224,Fibro_Cocultured,0.3,1
1463976,5.288764,-0.344241,Fibro_Cocultured,0.3,1
1467720,3.610176,-1.424686,Adipo_Cocultured,1,0.3
1469298,-6.795226,2.294483,Fibro_Cocultured,0.3,1
1471995,3.936104,-2.967029,Fibro_Cocultured,0.3,1
1478121,-10.166238,5.455001,Adipo_Cocultured,1,0.3
1479203,-0.150509,0.187103,Adipo_Cocultured,1,0.3
1483283,1.037967,4.234054,Adipo_Cocultured,1,0.3
1492885,2.523756,2.934147,Fibro_Cocultured,0.3,1
1523843,0.424907,-0.089804,Adipo_Cocultured,1,0.3
1526171,1.791086,1.175599,Adipo_Cocultured,1,0.3
1526245,1.067023,-0.620204,Fibro_Cocultured,0.3,1
1536645,5.019296,-3.243233,Fibro_Cocultured,0.3,1
1537369,-3.512537,6.092446,Adipo_Cocultured,1,0.3
1541968,-6.937271,2.07167,Fibro_Cocultured,0.3,1
1543602,1.216677,-3.073004,Fibro_Cocultured,0.3,1
1545552,1.135571,-0.591058,Adipo_Cocultured,1,0.3
1546483,-8.449758,2.160994,Fibro_Cocultured,0.3,1
1554048,2.232991,3.3331,Fibro_Cocultured,0.3,1
1554588,1.112039,-4.271603,Fibro_Cocultured,0.3,1
1562971,3.722984,-1.610316,Fibro_Cocultured,0.3,1
1567126,0.840262,2.127539,Adipo_Cocultured,1,0.3
1572349,-9.543645,-0.74769,Fibro_Cocultured,0.3,1
1581639,-10.06419,-1.143232,Adipo_Cocultured,1,0.3
1585713,3.981026,-1.564331,Fibro_Cocultured,0.3,1
1588607,3.43758,-0.110335,Fibro_Cocultured,0.3,1
1594892,-6.276223,-0.546652,Fibro_Cocultured,0.3,1
1595662,4.033327,-2.56132,Fibro_Cocultured,0.3,1
1602581,0.471111,2.252118,Fibro_Cocultured,0.3,1
1602649,-5.37253,4.845881,Adipo_Cocultured,1,0.3
1611456,1.090274,1.71435,Adipo_Cocultured,1,0.3
1612989,6.017336,-2.218803,Fibro_Cocultured,0.3,1
1616474,-10.223894,1.102682,Fibro_Cocultured,0.3,1
1620586,2.45426,-5.015464,Fibro_Cocultured,0.3,1
1626228,2.61436,-1.549304,Fibro_Cocultured,0.3,1
1627578,0.665828,-1.647817,Fibro_Cocultured,0.3,1
1628024,2.231544,0.039817,Adipo_Cocultured,1,0.3
1647190,4.946632,-3.69769,Fibro_Cocultured,0.3,1
1651352,2.822975,0.80062,Adipo_Cocultured,1,0.3
1656394,0.342608,1.46198,Adipo_Cocultured,1,0.3
1657780,0.890563,3.520859,Adipo_Cocultured,1,0.3
