Cell,umap_1,umap_2,CellType1,colour
1212551,-6.719243,-0.187991,T Cells,#f6d100
1216890,-9.026852,-1.722094,NK Cells,#8a001b
1218630,-0.091206,1.620494,Monocytes,#9897df
1218711,1.265231,2.213483,Monocytes,#9897df
1224222,4.470053,-1.626947,Macrophages,#f08592
1227452,-1.05142,2.73886,Myeloid Progenitors,#004583
1229246,-8.688994,-1.85561,NK Cells,#8a001b
1239124,-6.84437,3.394016,T Cells,#f6d100
1254935,2.93794,-3.286605,Macrophages,#f08592
1269638,-7.3898,-0.734809,T Cells,#f6d100
1269963,3.937065,0.394932,Macrophages,#f08592
1279233,1.517352,-4.831202,Macrophages,#f08592
1279522,2.854203,1.21005,Monocytes,#9897df
1284445,-0.403178,-1.932815,Monocytes,#9897df
1288986,3.371076,0.070313,Macrophages,#f08592
1289935,-9.972748,-1.420607,NK Cells,#8a001b
1291730,-7.098284,-1.046056,T Cells,#f6d100
1293894,-0.908888,3.077864,Myeloid Progenitors,#004583
1297353,2.965088,0.030264,Macrophages,#f08592
1299724,-8.879141,-1.924413,NK Cells,#8a001b
1300773,1.140568,-1.070981,Macrophages,#f08592
1303288,1.865261,-2.489649,Macrophages,#f08592
1306289,-6.352854,1.780619,T Cells,#f6d100
1306884,1.559048,5.340347,Monocytes,#9897df
1307722,-0.661013,-0.025991,Monocytes,#9897df
1309583,0.999185,-1.129858,Macrophages,#f08592
1316111,5.694373,-1.701251,Macrophages,#f08592
1318322,-4.856555,4.666969,Myeloid Progenitors,#004583
1323450,0.349025,-2.499129,Macrophages,#f08592
1325758,-1.003798,2.471639,Myeloid Progenitors,#004583
1331095,5.478459,-1.149615,Macrophages,#f08592
1338024,0.873013,-1.513061,Monocytes,#9897df
1339194,0.084264,-2.881088,Macrophages,#f08592
1343503,2.561487,-0.114059,Macrophages,#f08592
1346502,0.893787,-1.642279,Macrophages,#f08592
1357134,2.629823,-3.568639,Macrophages,#f08592
1358122,2.109134,-0.067282,Macrophages,#f08592
1359151,1.143826,2.092114,Monocytes,#9897df
1359999,-10.30276,-1.580568,NK Cells,#8a001b
1363038,0.73969,-0.155784,Monocytes,#9897df
1371731,1.470057,-1.896898,Macrophages,#f08592
1374719,3.726573,-1.912412,Macrophages,#f08592
1376550,1.63862,1.60712,Monocytes,#9897df
1377038,5.729478,-1.179906,Macrophages,#f08592
1378924,2.710385,-2.048686,Macrophages,#f08592
1397942,4.973375,-0.441303,Macrophages,#f08592
1398992,0.472972,1.411745,Monocytes,#9897df
1403281,2.062515,-3.491226,Macrophages,#f08592
1408504,0.952212,1.216032,Monocytes,#9897df
1410706,1.688313,-3.930046,Macrophages,#f08592
1412466,0.714836,4.422162,Monocytes,#9897df
1412799,-10.271433,5.52802,Mast Cells,#afa200
1421558,3.804369,-1.853525,Macrophages,#f08592
1426369,0.973316,2.804885,Monocytes,#9897df
1427892,-0.639549,2.204668,Monocytes,#9897df
1428773,1.287928,2.583969,Monocytes,#9897df
1431463,3.686694,-3.781,Macrophages,#f08592
1444547,0.07957,0.958883,Monocytes,#9897df
1446027,2.986658,0.492804,Macrophages,#f08592
1447546,-5.997483,-0.275138,T Cells,#f6d100
1448518,-6.36453,0.388492,T Cells,#f6d100
1453824,-2.986077,7.690499,Myeloid Progenitors,#004583
1457819,4.079907,0.423016,Macrophages,#f08592
1458333,-3.573354,5.318051,Myeloid Progenitors,#004583
1462608,-7.648085,1.730062,T Cells,#f6d100
1462885,-1.442895,2.248748,Myeloid Progenitors,#004583
1463071,3.0635,-0.613224,Macrophages,#f08592
1463976,5.288764,-0.344241,Macrophages,#f08592
1467720,3.610176,-1.424686,Macrophages,#f08592
1469298,-6.795226,2.294483,T Cells,#f6d100
1471995,3.936104,-2.967029,Macrophages,#f08592
1478121,-10.166238,5.455001,Mast Cells,#afa200
1479203,-0.150509,0.187103,Macrophages,#f08592
1483283,1.037967,4.234054,Monocytes,#9897df
1492885,2.523756,2.934147,Monocytes,#9897df
1523843,0.424907,-0.089804,Monocytes,#9897df
1526171,1.791086,1.175599,Macrophages,#f08592
1526245,1.067023,-0.620204,Macrophages,#f08592
1536645,5.019296,-3.243233,Macrophages,#f08592
1537369,-3.512537,6.092446,Myeloid Progenitors,#004583
1541968,-6.937271,2.07167,T Cells,#f6d100
1543602,1.216677,-3.073004,Macrophages,#f08592
1545552,1.135571,-0.591058,Macrophages,#f08592
