Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lipg,7.93040862910554e-06,3.10535317682482,0.042,0.007,0.207633958727241
Arg2,7.95906871896538e-06,3.01506518117234,0.034,0.004,0.208384337199952
Ero1a,8.01121247348115e-06,0.732363063820224,0.504,0.38,0.209749564980684
F7,8.03003199545627e-06,3.01308313846381,0.034,0.004,0.210242297705036
Nt5dc2,9.14814586527729e-06,1.4679020683747,0.169,0.081,0.23951675504469
Gsdmd,9.42732526028201e-06,1.32810549711169,0.208,0.108,0.246826229964703
Ssr3,1.05146220182269e-05,0.586154625427943,0.593,0.471,0.275293833681218
Msr1,1.07310325871211e-05,0.518523528517965,0.39,0.251,0.280959895196004
Ccng1,1.08263618947369e-05,-0.687795920443841,0.513,0.638,0.283455807128001
Rab7,1.13171745062822e-05,0.485154671602448,0.674,0.546,0.296306262923481
Ctsd,1.14929669872009e-05,0.804192026762433,0.551,0.424,0.300908861658893
Sdcbp,1.22210544128099e-05,0.823104749877667,0.559,0.476,0.319971646636189
Pim1,1.24485289044736e-05,0.482119580602288,0.72,0.618,0.325927383776928
H3f3a,1.24852155621711e-05,0.513664336913705,0.831,0.74,0.326887913848764
Akr1a1,1.26933509107895e-05,0.65188296144564,0.725,0.598,0.332337313546291
Grina,1.34371464300168e-05,0.471452124390216,0.453,0.3,0.3518113678307
Slfn5,1.41131714573018e-05,1.35271261300852,0.182,0.089,0.369511055095076
Cnbp,1.61064902445871e-05,-0.503878440146875,0.665,0.764,0.42170012758378
Srsf2,1.63126341393254e-05,-0.507661312306048,0.589,0.678,0.427097387035819
Dhrs9,1.66870253691861e-05,1.92229789435582,0.068,0.019,0.43689969821603
Nek6,1.73557486378959e-05,1.0266626601868,0.22,0.118,0.454408210837391
Nrgn,1.76890572978455e-05,-3.18262890315233,0.038,0.135,0.463134898172192
Gpx1,1.82946346091724e-05,0.878418347367719,0.496,0.379,0.478990123337353
Irf7,1.86273847913177e-05,1.32384446374468,0.11,0.042,0.487702188606279
Ccdc162,1.91143606196996e-05,1.85284285733089,0.11,0.044,0.500452189744976
Gadd45b,2.00472930750682e-05,2.89667992570572,0.042,0.008,0.524878227291435
mt-Atp6,2.03114969467838e-05,-0.239148113896231,1,0.999,0.531795613060693
Cysltr1,2.06361030635302e-05,1.02847641918813,0.191,0.095,0.540294450409347
Hebp1,2.16402947976382e-05,2.37931276345636,0.042,0.008,0.566586198391762
Wnk1,2.22694743259107e-05,-0.498228476031596,0.72,0.8,0.583059376800993
Tnfrsf26,2.32076015277794e-05,0.773312490201762,0.208,0.108,0.60762142320032
Gzmc,2.36397572771944e-05,1.20521326165763,0.352,0.231,0.618936125031503
Wfdc18,2.4564228985246e-05,4.10641698964433,0.021,0.001,0.64314064329171
Cntn1,2.50377621828185e-05,2.47699539981778,0.038,0.007,0.655538689470554
Gstm1,2.56933619126718e-05,1.38117369632443,0.153,0.072,0.672703601597573
Fosb,2.58891434338539e-05,2.56402930664561,0.068,0.02,0.677829553385162
Ifi203,2.6113412318987e-05,0.839468834081057,0.229,0.125,0.683701361335716
Vwf,2.67405345447452e-05,2.54243635104331,0.034,0.005,0.70012067545052
Nlrc5,2.7604901817649e-05,-0.854184030141966,0.339,0.469,0.722751539389686
Socs3,2.77222329210551e-05,1.57315699980835,0.11,0.044,0.725823502339065
Ftl1-ps1,2.84359480486201e-05,1.48643089055389,0.153,0.072,0.744509991808972
Emp3,2.96803619408564e-05,0.599012733202689,0.492,0.351,0.777091236335502
Npy,2.98900605179401e-05,2.12205320244034,0.097,0.037,0.782581564480708
